tis1099_code,iso3166_2,iso_subdivision_type,hasc,fips_code,wikidata_qid,geonames_id,osm_relation_id,wikipedia_article_url,name_en_canonical,name_th,name_alternates_en,region,capital,capital_th,established_year,predecessor_tis1099_code,centroid_lat,centroid_lon,area_km2,area_rai,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,distance_to_bangkok_km,neighbors,has_international_border,bordering_countries,is_coastal,coastline_length_km,postal_code_prefixes,telephone_area_codes,num_amphoe,num_tambon,notes
67,TH-67,Province,TH.PH,TH14,Q240520,1607736,1908802,https://en.wikipedia.org/wiki/Phetchabun_province,Phetchabun,เพชรบูรณ์,,Central,Phetchabun,เพชรบูรณ์,,,16.27472,101.14564,12472.3,7795187.5,15.31942,100.63653,17.17154,101.79725,284.4,16|36|40|42|60|65|66,false,,false,,67,043|056,11,117,
70,TH-70,Province,TH.RT,TH52,Q335492,1150953,1908811,https://en.wikipedia.org/wiki/Ratchaburi_province,Ratchaburi,ราชบุรี,Ratcha Buri,West,Ratchaburi,ราชบุรี,,,13.53184,99.57348,5215.6,3259750.0,13.14879,99.16732,13.96124,100.06027,117.0,71|73|74|75|76,true,Myanmar,false,,70,032,10,104,
71,TH-71,Province,TH.KN,TH50,Q275740,1153080,1908777,https://en.wikipedia.org/wiki/Kanchanaburi_province,Kanchanaburi,กาญจนบุรี,Kanchana Buri,West,Kanchanaburi,กาญจนบุรี,,,14.59315,99.04275,19350.0,12093750.0,13.72585,98.18118,15.65248,99.87586,194.2,61|63|70|72|73,true,Myanmar,false,,70|71,034,13,98,
72,TH-72,Province,TH.SH,TH51,Q272247,1606032,1908824,https://en.wikipedia.org/wiki/Suphan_Buri_province,Suphan Buri,สุพรรณบุรี,SuphanBuri,Central,Suphan Buri,สุพรรณบุรี,,,14.61895,99.88773,5401.9,3376187.5,14.06424,99.2828,15.08091,100.27957,124.0,14|15|17|18|61|71|73,false,,false,,72,035,10,110,
73,TH-73,Province,TH.NP,TH53,Q334841,1608533,1908788,https://en.wikipedia.org/wiki/Nakhon_Pathom_province,Nakhon Pathom,นครปฐม,NakhonPathom,Central,Nakhon Pathom,นครปฐม,,,13.92547,100.09635,2204.4,1377750.0,13.66029,99.8141,14.17921,100.33033,60.2,10|12|14|70|71|72|74,false,,false,,73,02|034,7,106,
74,TH-74,Province,TH.SS,TH55,Q334686,1606587,1908816,https://en.wikipedia.org/wiki/Samut_Sakhon_province,Samut Sakhon,สมุทรสาคร,SamutSakhon,Central,Samut Sakhon,สมุทรสาคร,,,13.56839,100.21008,925.5,578437.5,13.42533,100.02952,13.71972,100.40884,50.3,10|70|73|75,false,,true,37.3,74,034,3,40,
75,TH-75,Province,TH.SM,TH54,Q459742,1606585,1908817,https://en.wikipedia.org/wiki/Samut_Songkhram_province,Samut Songkhram,สมุทรสงคราม,SamutSongkhram,Central,Samut Songkhram,สมุทรสงคราม,,,13.41119,99.96372,356.9,223062.5,13.29662,99.85595,13.51453,100.07878,82.0,70|74|76,false,,true,4.1,75,034,3,36,
76,TH-76,Province,TH.PE,TH56,Q244699,1151416,1908803,https://en.wikipedia.org/wiki/Phetchaburi_province,Phetchaburi,เพชรบุรี,Phet Buri|Phetcha Buri,West,Phetchaburi,เพชรบุรี,,,12.94563,99.62098,6272.0,3920000.0,12.58298,99.09953,13.34341,100.10204,142.2,70|75|77,true,Myanmar,true,55.4,76,032,8,93,
77,TH-77,Province,TH.PK,TH57,Q244628,1151073,1908809,https://en.wikipedia.org/wiki/Prachuap_Khiri_Khan_province,Prachuap Khiri Khan,ประจวบคีรีขันธ์,PrachuapKhiriKhan,West,Prachuap Khiri Khan,ประจวบคีรีขันธ์,,,11.9513,99.63664,6428.1,4017562.5,10.96836,99.15378,12.6325,100.0189,228.7,76|86,true,Myanmar,true,86.7,77,032,8,48,
80,TH-80,Province,TH.NT,TH64,Q244691,1608525,1908792,https://en.wikipedia.org/wiki/Nakhon_Si_Thammarat_province,Nakhon Si Thammarat,นครศรีธรรมราช,NakhonSiThammarat,South,Nakhon Si Thammarat,นครศรีธรรมราช,,,8.37768,99.78429,9816.6,6135375.0,7.83806,99.2345,9.3228,100.33657,606.2,81|84|90|92|93,false,,true,80.7,80,075,23,170,
81,TH-81,Province,TH.KR,TH63,Q236769,1152631,1908779,https://en.wikipedia.org/wiki/Krabi_province,Krabi,กระบี่,,South,Krabi,กระบี่,,,8.18597,99.01144,4352.6,2720375.0,7.65736,98.63543,8.68134,99.38485,645.1,80|82|84|92,false,,true,54.8,80|81,075,8,53,
82,TH-82,Province,TH.PG,TH61,Q273306,1151462,,https://en.wikipedia.org/wiki/Phang_Nga_province,Phangnga,พังงา,Phang Nga|Phang-nga,South,Phangnga,พังงา,,,8.66659,98.41857,3594.6,2246625.0,8.12675,98.20519,9.33219,98.70344,616.2,81|83|84|85,false,,true,139.3,82|83,076,8,48,
83,TH-83,Province,TH.PU,TH62,Q182565,1151253,2934604,https://en.wikipedia.org/wiki/Phuket_province,Phuket,ภูเก็ต,,South,Phuket,ภูเก็ต,,,7.9686,98.34794,596.6,372875.0,7.76338,98.26305,8.19909,98.4407,691.1,82,false,,true,100.7,83,076,3,17,
